	2
150.192.145.147	2
150.192.145.252	8
150.192.148.52	2
150.192.15.104	26
150.192.15.114	8
150.192.15.170	34
150.192.15.178	12
150.192.15.209	308
150.192.15.227	2
150.192.15.234	2
150.192.150.134	4
150.192.150.158	12
150.192.151.179	10
150.192.153.129	8
150.192.153.202	64
150.192.161.109	4
150.192.163.181	2
150.192.167.244	18
150.192.168.167	4
150.192.17.35	8
150.192.171.251	4
150.192.176.0	66
150.192.176.110	18
150.192.176.118	298
150.192.176.134	18
150.192.176.167	8
150.192.176.230	10
150.192.176.4	12
150.192.176.61	68
150.192.176.64	114
150.192.177.102	6
150.192.177.138	14
150.192.177.172	30
150.192.177.185	54
150.192.177.221	2
150.192.177.232	4
150.192.178.103	2
150.192.178.106	4
150.192.178.118	8
150.192.178.120	14
150.192.178.124	2
150.192.178.135	67
150.192.178.174	8
150.192.178.181	2
150.192.178.196	16
150.192.178.200	1944
150.192.178.208	71
150.192.178.241	8
150.192.178.83	56
150.192.178.92	322
150.192.179.10	44
150.192.179.130	46
150.192.179.138	2
150.192.179.149	8
150.192.179.150	126
150.192.179.4	16
150.192.179.74	4
150.192.179.8	82
150.192.179.85	2
150.192.179.89	2
150.192.179.96	44
150.192.184.120	2
150.192.185.146	720
150.192.188.108	2
150.192.188.122	2
150.192.188.127	2
150.192.19.134	4
150.192.19.161	2
150.192.19.166	4
150.192.195.227	2
150.192.196.43	8
150.192.20.220	4
150.192.200.77	6
150.192.204.113	2
150.192.204.129	4
150.192.204.131	4
150.192.204.136	122
150.192.204.144	46
150.192.204.160	56
150.192.204.202	6
150.192.204.248	8
150.192.204.253	6
150.192.204.47	2
150.192.204.53	6
150.192.204.56	2
150.192.204.83	2
150.192.204.84	20
150.192.204.93	4
150.192.204.95	890
150.192.205.1	12
150.192.205.110	4
150.192.205.114	18
150.192.205.120	2
150.192.205.123	8
150.192.205.151	32
150.192.205.16	2022
150.192.205.162	96
150.192.205.184	1914
150.192.205.194	4
150.192.205.210	54
150.192.205.216	4
150.192.205.61	30
150.192.205.88	48
150.192.205.9	6
150.192.205.93	8
150.192.206.12	6
150.192.206.145	46
150.192.206.174	4
150.192.206.179	6
150.192.206.227	14
150.192.206.234	20
150.192.206.30	6
150.192.206.62	58
150.192.206.83	74
150.192.207.148	12
150.192.207.156	32
150.192.207.167	4
150.192.207.178	6
150.192.21.149	4
150.192.215.203	94
150.192.215.228	2
150.192.22.104	84
150.192.22.110	28
150.192.224.3	20
150.192.226.96	4
150.192.229.144	12
150.192.229.219	4
150.192.231.193	4
150.192.232.42	6
150.192.232.62	36
150.192.236.162	32
150.192.240.61	3
150.192.246.68	24
150.192.249.180	26
150.192.36.133	4
150.192.36.205	28
150.192.36.210	18
150.192.36.245	16
150.192.37.106	2
150.192.37.109	6
150.192.37.111	12
150.192.37.142	2
150.192.37.175	10
150.192.37.190	6
150.192.37.211	717
150.192.37.214	4
150.192.37.217	7
150.192.37.243	4
150.192.37.30	16
150.192.37.34	6
150.192.37.38	59
150.192.37.41	8
150.192.37.51	4
150.192.37.53	4
150.192.37.66	2
150.192.37.68	8
150.192.41.58	4
150.192.43.17	64
150.192.43.8	269
150.192.47.10	2
150.192.56.49	38
150.192.56.60	289
150.192.57.213	6
150.192.57.232	22
150.192.58.186	173121
150.192.62.85	13
150.192.64.113	2
150.192.64.118	14
150.192.65.165	3
150.192.68.75	2
150.192.70.89	4
150.192.72.53	10
150.192.73.179	2
150.192.73.231	4
150.192.77.22	6
150.192.8.190	170
150.192.8.57	10
150.192.83.149	34
150.192.83.196	2
150.192.83.229	2
150.192.89.24	2
150.192.89.25	6
150.192.9.135	181
150.192.9.181	2
150.192.9.66	4
150.192.93.145	4
150.192.95.140	10
150.192.95.155	8
150.192.95.189	166
150.192.97.115	4
150.192.97.91	4
150.194.99.34	2
150.240.177.90	60
150.240.178.250	2
150.240.181.26	2
150.240.191.244	6
153.102.65.198	10
153.102.65.236	20
153.105.254.41	28
153.106.34.121	2
153.110.30.11	1077
153.110.78.169	2
153.128.165.109	4
153.129.82.214	202
153.133.214.21	7909
153.134.90.216	14
153.135.153.200	534
153.4.194.123	343
153.48.126.135	2
153.5.28.67	2
153.50.118.63	2
153.6.199.238	4
153.88.194.124	2
157.90.110.211	4
157.90.110.238	6
157.90.123.108	10
157.90.13.157	30
157.90.151.161	194
157.90.181.241	4
157.90.183.12	10
157.90.196.107	4
157.90.196.110	100
157.90.47.158	22
157.90.82.146	76
160.12.143.71	26
160.160.125.231	2
160.160.172.255	2
160.160.21.134	16
160.160.26.148	12
160.176.175.212	4
163.1.209.74	2
163.221.10.213	6
163.221.10.214	2
163.221.10.46	4
163.221.100.107	3
163.221.102.129	2
163.221.102.62	2
163.221.103.106	4
163.221.103.156	4
163.221.103.230	12
163.221.103.71	24
163.221.103.93	10
163.221.104.238	8
163.221.104.94	12
163.221.106.141	2
163.221.106.28	4
163.221.11.52	2
163.221.112.126	56
163.221.112.141	2
163.221.112.189	4
163.221.113.121	16
163.221.113.211	35
163.221.113.232	16
163.221.114.102	94
163.221.115.70	8
163.221.115.73	16
163.221.117.189	2
163.221.117.191	76
163.221.117.194	374
163.221.118.9	412
163.221.119.195	2
163.221.119.238	22
163.221.120.12	24
163.221.120.168	2
163.221.120.178	2
163.221.122.117	2
163.221.122.119	2
163.221.122.166	14
163.221.122.213	2
163.221.122.39	2
163.221.122.96	50
163.221.143.27	6
163.221.144.129	2
163.221.144.147	4
163.221.144.153	36
163.221.144.159	40
163.221.144.162	2
163.221.144.173	414
163.221.144.198	2
163.221.144.202	30
